artifact,required,columns,notes
predictions.csv,true,row_id|prediction|lower|upper|group_key,test rows only; sorted by row_id; lower <= upper; final preprocessing uses only the selected policy features and is relearned from the combined fit plus validation reference before refitting the selected model
validation_predictions.csv,true,row_id|actual|prediction|residual|abs_error|group_key,validation rows only; sorted by row_id; residual is actual minus prediction
metrics.json,true,task_mode|target_column|model_family|selected_policy|selected_lambda|n_fit|n_validation|n_test|validation_rmse|validation_mae|validation_r2|interval_coverage,JSON fields; validation metrics recompute from validation_predictions.csv and the selected identity matches rank 1 of robust_selection_report.csv
model_manifest.json,true,task_mode|target_column|model_family|selected_policy|selected_lambda|feature_columns|active_feature_columns|feature_policy_source,JSON fields; feature_columns contains every configured feature in feature-role order; active_feature_columns contains the selected policy features in that order; arrays remain JSON arrays even when singleton
robust_selection_report.csv,true,rank|candidate_policy|candidate_lambda|active_feature_count|validation_rmse|stability_gap|mean_abs_pair_shift|robust_score|selected,one row per feature_policies.csv policy crossed with every configured lambda_grid value; each policy names a nonempty subset of configured features and active features keep feature-role order; fit closed-form ridge with an unpenalized intercept on log1p(target) when active fit and validation targets are nonnegative then back-transform with expm1 and clamp below at zero; stability_gap is maximum minus minimum validation group RMSE after missing groups map to __missing__; enumerate unordered active-feature pairs in feature-role order as (1 2) (1 3) and so on and keep the first robust_selection_pair_count pairs; for each pair replace validation values by the fit numeric median or first learned categorical level and compute the mean absolute shift from that candidate's baseline validation prediction; mean_abs_pair_shift averages over all stressed rows and retained pairs; robust_score equals robust_weight_validation_rmse times validation_rmse plus robust_weight_stability_gap times stability_gap plus robust_weight_pair_shift times mean_abs_pair_shift; rank by lower robust_score then lower validation_rmse then lower policy_order then lower candidate_lambda; exactly rank 1 is selected and matches metrics and manifest
feature_summary.csv,true,feature|data_type|active_in_policy|missing_fit|missing_validation|missing_test,one row per feature with role feature in feature_roles.csv; active_in_policy marks membership in the selected policy; missing counts treat blank NA NaN nan null ? and MISSING as missing tokens
group_error_report.csv,true,group_key|mean_abs_error|n_validation,one row per validation group_key; mean_abs_error is the mean validation_predictions.csv abs_error for that group; n_validation is the number of validation rows in that group and is positive
neighbor_evidence.csv,true,row_id|selected_policy|selected_lambda|nearest_fit_index|nearest_distance,first min(50 n_test) test rows in row_id order; selected identity repeats the robust winner; nearest_fit_index is the one-based position of the nearest row in the active fit plus validation reference matrix encoded with selected policy features after final preprocessing; that combined reference matrix keeps fit and validation rows in original CSV row order; final preprocessing recomputes numeric medians means scales and categorical levels from combined fit plus validation rows with categorical levels ordered as sorted observed cleaned levels followed by __missing__ and __other__; nearest_distance is encoded-design Euclidean distance and is nonnegative
interval_report.csv,true,split|interval_coverage|mean_width,validation only; for each validation row use min(selected_lambda n_fit) nearest fit rows in the fit-only encoded feature space; compute lower and upper as 0.08 and 0.92 target quantiles using R quantile type 8 then report coverage and mean width
residual_bins.csv,true,prediction_bin|mean_abs_error|count,use the six unique median-unbiased quantiles of serialized validation prediction values at probabilities 0 0.2 0.4 0.6 0.8 and 1 (R quantile type 8 / NumPy method median_unbiased); bin 1 includes both endpoints and every later bin is (lower upper]; omit empty bins; prediction_bin is the resulting interval label; report count and mean abs_error per bin in ascending cut order
feature_pair_stress_report.csv,true,rank|feature_a|feature_b|baseline_mean_prediction|stressed_mean_prediction|mean_prediction_shift|mean_abs_prediction_shift|max_abs_prediction_shift,one row per unordered raw-feature pair among the first feature_pair_stress_feature_count active features of the selected policy, defaulting to five when absent; replace both features on test rows with the final combined-reference numeric median or first final learned categorical level; rescore with the selected final ridge model; sort by mean_abs_prediction_shift descending then max_abs_prediction_shift descending then feature_a then feature_b; rank sequentially
